GeneGTF2I
RRAGA
PLIN2
RPS6
MEA1
FAM195B
P4HB
ARHGDIA
DESI2
COX20
FAM92A1
HNRNPU
STRA13
DCXR
ACO1
NDUFB6
CALU
CSNK1D
DNAJA1
BAG1
CHMP5
UBE2R2
PXDN
ADI1
DCTN3
RPS7
ID2
STOML2
ITGB1BP1
MYL12A
MYL12B
CCDC107
TPM2
TLN1
CREB3
ODC1
HINT2
PDIA6
RECK
GLIPR2
LPIN1
ANKRD12
TWSG1
DDX1
VAPA
LAPTM4A
TUBB6
PSMG2
SF3B6
ROCK1
SNRPD1
HADHA
HADHB
ZFAND5
ALDH1A1
SLC35F6
OSBPL1A
OST4
EMILIN1
ATRAID
PSAT1
MPV17
MEST
SNX17
PPM1G
NRBP1
HNRNPK
MRPL33
GALNT1
PPP1CB
S1PR3
CKS2
LBH
DPY30
IARS
IER3IP1
CRIM1
FEZ2
NINJ1
FAM120A
CDC42EP3
C9orf3
SRSF7
TXNL1
NARS
ALPK2
ZFP36L2
LMAN1
ANP32B
NANS
KDSR
EPAS1
ERP44
RHOQ
DSEL
POLR2K
MCFD2
CALM2
CYB5A
ATXN2
RAD23B
CTNNAL1
SPTBN1
RTN4
SVEP1
RPS27A
LPAR1
PTGR1
HSBP1L1
TXNL4A
UGCG
CCT4
COMMD1
FKBP1A
MDH1
UGP2
SNRPB
PAPPA
RAB1A
ACTR2
DDRGK1
ITPA
GSN
STOM
CNRIP1
ANTXR1
AAK1
ANXA4
PCBP1
PCYOX1
SNRPG
ARPC5L
HSPA5
MAPKAP1
PBX3
ANGPTL2
CCT7
MKKS
RPL12
FAM129B
ACTG2
COL5A1
BOLA3
MOB1A
MTHFD2
SNRPB2
DSTN
RRBP1
C9orf16
CERCAM
SPTAN1
NAA20
POLE4
XRN2
SUCLG1
TMSB10
CST3
TGOLN2
MAT2A
VAMP5
NTMT1
HNRNPA3
HM13
ID1
LINC00152
SNRPE
MAPRE1
PTEN
RPL7A
SURF4
AHCY
MAP1LC3A
MMP24-AS1
EIF6
ROMO1
RBM39
LINC00657
EIF5B
MYL9
C20orf24
SNHG7
RPL31
RPN2
PHPT1
MAP4K4
PTGDS
TGM2
NPDC1
DPP7
FHL2
SSNA1
TOP1
TUBB4B
GCC2
LIMS1
SERINC3
PKIG
LMNA
MIR4435-2HG
PSMD13
IFITM2
SDC4
IFITM3
PIGT
RNH1
HRAS
CTSA
TALDO1
ACTR3
RPLP2
CD151
POLR2L
TSPAN4
CHID1
STAU1
ZFAS1
IGF2
BIN1
RNF114
CD81
CEBPB
DPM1
PFDN4
FAM210B
PRKCDBP
RTFDC1
UBXN4
ILK
TAF10
TPP1
MRPL17
CTSZ
ATP5E
MMADHC
RND3
ST5
PSMA7
ADRM1
PRPF40A
SBF2-AS1
ADM
MRVI1
TFPI
EIF4G2
PPDPF
DKK3
RBMS1
PARVA
PSMD14
TEAD1
FAP
RRAS2
COPB1
PSMA1
TPD52L2
C11orf58
RPS13
NUCB2
LDHA
PPIG
SSB
METTL5
TPGS1
BSG
TLK1
HTATIP2
CYBRD1
DYNC1I2
CFD
AC013461.1
BDNF
OLA1
CIR1
POLR2E
RCN1
CIRBP
ATP5G3
NDUFS7
GAMT
CD59
NFE2L2
CAPRIN1
CD44
PAMR1
TRIM44
UBE2E3
AP3D1
HSD17B12
PLEKHJ1
SSFA2
LSM7
NCKAP1
TP53I11
DAPK3
ZC3H15
ITGAV
CREB3L1
GULP1
COL3A1
COL5A2
NFIC
ORMDL1
SLC39A13
PSMC3
NABP1
NDUFS3
GLS
STAT1
MTCH2
UBXN6
UBE2L6
SERPING1
SF3B1
HSPD1
C11orf31
MYDGF
PLIN3
SPATS2L
BZW1
C19orf70
NDUFB3
FADS2
FADS1
AVPI1
ABI2
BEST1
AHNAK
GANAB
UQCC3
UBXN1
POLR2G
IDH1
TMEM179B
HSPE1
SLC3A2
RARRES3
PLA2G16
HNRNPM
RTN3
FN1
COX8A
OTUB1
XRCC5
RPL37A
FKBP2
IGFBP5
UBL5
ARPC2
MRPL4
SF1
CDC37
ARL2
CAPN1
LDLR
DNPEP
KANK2
NEAT1
MALAT1
CHPF
SSSCA1
PRKCSH
RNASEH2C
CFL1
ACSL3
EFEMP2
CCDC85B
DRAP1
BANF1
SF3B2
YIF1A
CD248
MRPL11
PSMD1
ASNA1
JUNB
PRDX2
PTMA
CALR
RAD23A
GADD45GIP1
NFIX
PPP1CA
IER2
CORO1B
GSTP1
COL6A3
NDUFV1
LRRFIP1
RAMP1
NDUFS8
TWIST2
MRPL21
GIPC1
MRGPRF
TECR
GPC1
CCND1
BRD4
PPP1R7
SEPT2
CTTN
ANAPC15
BABAM1
DDA1
RAB6A
THUMPD3-AS1
SETD5
ARPC4
RAN
JAGN1
RPL18A
SPCS2
CCDC124
EMC3
RPS3
SERPINH1
SEC13
GDF15
DEGS1
NBEAL1
CLNS1A
RPL32
AAMDC
COPE
NDUFC2
LSM3
PRCP
NDUFA13
ANKRD28
DPH3
RFTN1
C11orf73
PRSS23
CTSC
RPL15
TAF1D
AZI2
CWC15
UQCRFS1
CRTAP
PDCD5
TMEM123
PLEC
GOLGA4
PEPD
CASP4
CASP1
CARD16
RPSA
EIF1B
ACAT1
CTNNB1
FXYD5
RDX
LAYN
HIGD1A
PSENEN
TIMM8B
SDHD
HSPB6
PTS
NNMT
POLR2I
TBCB
REXO2
COX7A1
TAGLN
PCSK7
PSMD7
MAP4
TRAPPC4
UQCRC1
PRKAR2A
PSMD8
RPS28
THY1
NDUFAF3
IMPDH2
LPP
QARS
ECH1
MRPS12
GPX1
HSPA8
CLMP
RPS16
FBL
PLD3
BLVRB
LTBP4
MANF
TEX264
AXL
RPL29
RNF187
TWF2
APLP2
RPL8
TKT
PSG4
IDI1
SELK
PFKP
ETHE1
KLF6
WNT5A
ZNF428
AKR1C1
ARF4
GDI2
FLNB
RBM17
PDHB
IGFBP2
ATP5C1
PPP1R14B
THOC7
PVRL2
NUDT5
CDC123
OPTN
ERCC1
ARL6IP5
VASP
SNRPD2
RSU1
VIM
HACD1
SERINC1
GBE1
VGLL3
CALM3
DNAJC1
SLC1A5
TMEM160
NAPA
EHD2
GLTSCR2
TFG
SEPW1
PCNP
SVIL
EMP3
ZEB1
KDELR1
KIF5B
BBX
CD47
RPL18
PPP1R15A
NUCB1
BAX
FTL
ATG3
CCDC80
SNRNP70
NAA50
HNRNPF
ATP6V1A
RPS11
FCGRT
NOSIP
RRAS
PRMT1
PTOV1
COX17
FSTL1
NDUFB4
EMC10
GOLGB1
CLEC11A
FAM162A
DKK1
ETFB
CISD1
MYLK
CCDC14
HEG1
VDAC3
ARID5B
MGLL
SEC61A1
HNRNPH3
RPN1
DDX21
SRGN
CNBP
MYADM
SAR1A
NDUFA3
PCBD1
MRPL3
MBOAT7
TSEN34
RPS9
PSAP
DDIT4
ANAPC13
ANXA7
RPL28
UBE2S
ISOC2
PLAU
VCL
ZNF580
COPB2
RBP1
SLC25A36
ZBTB38
ATP1B3
RPS24
GYG1
FAM213A
GHITM
PFN2
EIF2A
SELT
ADIRF
MBNL1
PAPSS2
DHX36
ACTA2
A1BG
CCNL1
RPS5
LXN
RARRES1
CHMP2A
MRPL12
SPON2
MYOF
SERPINE2
EIF1AY
SEC62
ATP6V1E1
AFF4
CLDN11
TM9SF3
RPL22L1
FNDC3B
PGAM1
MRPL40
TBL1XR1
UFD1L
HPS1
ZMAT3
COMT
CDKN2A
RANBP1
MRPL47
BLOC1S2
SCD
FXR1
NDUFB8
NPM3
AP2M1
UBE2L3
SDF2L1
PSMD2
EIF4G1
ARL3
IGF2BP2
TRA2B
CHCHD10
USMG5
EIF4A2
MIF
SH3PXD2A
MASP1
GSTO1
SNRPD3
P3H2
SMC3
SHOC2
MFSD10
ATP13A3
ITM2C
PRAF2
XBP1
EWSR1
TFRC
UQCR10
SLC16A3
PLP2
EIF3A
FAM45A
PAK2
PRDX3
DBNL
RGS10
NCL
MPST
RPL35A
SELM
OAT
YWHAH
RTCB
TIMP3
GTF2F2
MGMT
C4orf48
MXD4
GLRX3
BNIP3
MYH9
EIF3D
LRPAP1
CDC42EP1
ECHS1
LGALS1
TRIOBP
POLR2F
CSNK1E
KDELR3
DDX17
TOMM22
CBX6
APOBEC3C
FAM200B
RPL3
SYNGR1
CD9
RPS19BP1
TNFRSF1A
LTBR
TNRC6B
SOD3
RBX1
CHD4
RBPJ
MLF2
PTMS
XRCC6
SNU13
TPI1
FAM114A1
KLHL5
C12orf57
RPL9
NDUFA6
C1S
C1R
SMIM14
UBE2K
UCHL1
LIMCH1
M6PR
OCIAD1
VCP
GABARAPL1
ATXN10
YBX3
PDGFRA
TMEM165
CRELD2
SRP72
WDR1
IGFBP7
H2AFJ
MGP
EPS8
STRAP
MGST1
CXCL1
AKAP12
USO1
BCAT1
SCARB2
SEPT11
CCNI
DST
APP
ADAMTS1
ADAMTS5
HNRNPD
HNRNPDL
USP16
SEC31A
COPS4
CCND2
ERGIC2
MRPS18C
TMTC1
PYURF
SON
ATP5O
SNCA
MRPS6
NDUFA9
ROCK2
TSPAN5
CBR1
SCAF11
SLC38A1
SLC38A2
TTC3
ATF4
H2AFZ
PPP3CA
AIMP1
RPL34
PDXK
CSTB
TUBA1B
TUBA1A
TUBA1C
TMBIM6
SUMO3
PTTG1IP
SERPINF1
COX14
LIMA1
SNHG8
COL18A1
USP53
C4orf3
COL6A1
DAZAP2
COL6A2
ANXA5
NGFRAP1
ATG101
PRMT2
MT-ND1
MT-ND2
MT-CO1
MT-CO2
MT-ATP6
MT-CO3
MT-ND3
KRT18
MT-ND4
MT-ND5
MT-ND6
MT-CYB
IGFBP6
PGRMC2
PRR13
SLC7A11
NDUFC1
SCOC
COPZ1
CD63
RPS26
PA2G4
RPL41
MYL6
RPS3A
STAT2
ATP5B
PTGES3
LRP1
SHMT2
DDIT3
MSMO1
OS9
CDK4
SPCS3
SRGAP1
COA4
XPOT
GNS
MSRB3
TMBIM4
CAND1
CCT2
PDCD6
GLIPR1
MRPL36
NDUFS6
OSBPL8
CSRP2
PPP1R12A
CCT5
DAP
ATP2B1
LUM
MYO10
BASP1
BTG1
EEA1
NUDT4
UBE2N
SUB1
NDUFA12
METAP2
RAI14
BRIX1
ANXA1
IKBIP
LSM4
ARL1
OSMR
DRAM1
DAB2
RPL37
HSP90B1
SEPP1
TXNRD1
C12orf75
CKAP4
KXD1
TMEM263
ITGA1
PELO
MOCS2
FST
NDUFS4
ISCU
CLEC2B
CORO1C
GPX8
PLPP1
IL6ST
MMAB
ANKRD13A
ATP2A2
ARPC3
VPS29
FBLN1
PPP1CC
NDUFAF2
ALDH2
ERP29
PTPN11
ERBB2IP
TBX3
MRPS36
TAF9
C1QBP
MAP1B
PEBP1
TAOK3
TNPO1
RPLP0
HEXB
NSA2
NLRP1
COX6A1
SRSF9
DYNLL1
MLEC
ANAPC5
MLXIP
CLIP1
RSRC2
DENR
RPS23
NR2F1
UBC
TTC37
CTSL
RHOBTB3
GLRX
ELL2
TMEM126A
CAST
PAM
GPRC5A
MPHOSPH8
YPEL5
EPB41L4A-AS1
SRP19
REEP5
SAP18
MRPL57
WFDC1
LOX
RPL21
GTF3A
PPIC
POLR1D
POMP
HMGB1
LARP1
FBN2
ISOC1
N4BP2L2
P4HA2
PDLIM4
SPG20
UFM1
LHFP
VDAC1
SKP1
UBE2B
SLC4A7
DNAJC15
CAMLG
DDX46
C5orf24
PITX1
H2AFY
TGFBI
SPOCK1
TPT1
HNRNPA0
ZC3H13
EGR1
ETF1
HSPA9
CTNNA1
SIL1
CARD19
ITM2B
EBPL
CYSTM1
ATP5G1
SRA1
NDUFA2
IK
ZMAT2
SUGT1
RPL39
LMO7
TAF7
MYCBP2
ABCC4
FARP1
NDFIP1
TM9SF2
YIPF5
LARS
ARGLU1
COL4A1
COL4A2
GAS6
PDGFRB
LAMP1
ANXA6
TMCO3
SPARC
ATOX1
CCNB1IP1
MRPL22
APEX1
RNF145
HNRNPC
TTC1
DAD1
OXA1L
CCNG1
MRPL52
MMP14
LRP10
RARS
C14orf119
NPM1
PABPN1
RPL26L1
STC2
PSME1
PSME2
CLTB
PRELID1
LMAN2
PDLIM7
TMED9
HECTD1
NHP2
HNRNPAB
ARHGAP5
SPTSSA
DHRS4L2
SNX6
CFL2
HNRNPH1
CANX
MGAT4B
SQSTM1
MGAT1
SEC23A
GNB2L1
FKBP3
CCT8
RPS29
SERPINB1
SERPINB6
ARF6
ECI2
FRMD6
LYRM4
CYCS
NID2
PSMC6
FERMT2
SOD1
BMP4
CHMP4A
TMEM14C
TMEM14B
LGALS3
KTN1
NOL7
FHL1
PSMA3
DHRS7
TMEM147
DEK
COA3
SOX4
HIF1A
ACOT13
C6orf62
HIST1H4C
RDH11
ZFP36L1
ACTN1
ERH
SRSF5
RBM25
HLA-A
NPC2
HLA-E
ABCF1
MRPS18B
TUBB
FLOT1
C14orf1
HLA-C
HLA-B
SLIRP
CSNK2B
DDAH2
CLIC1
LSM2
C6orf48
NEU1
TXN
NELFE
PSMC1
CALM1
FBLN5
PSMB8
PSMB9
BRD2
SLC39A7
DDX24
IFI27L2
RPS18
TAPBP
CUTA
GLRX5
BDKRB2
UQCC2
HMGA1
C6orf1
NUDT3
ADH5
SNRPC
YY1
RPL10A
WARS
MEG3
SEC22B
SRSF3
CDKN1A
DYNC1H1
HSP90AA1
MTCH1
GLO1
EIF5
SIVA1
RPL7L1
NUDT14
DNPH1
PSMF1
YIPF3
NDN
SNRPN
MRPL14
HSP90AB1
SLC35B2
TJP1
ELOVL5
GREM1
EMC7
EMC4
BAG2
PTP4A1
MEIS2
THBS1
EIF2AK4
COL12A1
TMEM30A
MYO6
HMGN3
CHP1
TPBG
RTF1
ME1
SYNCRIP
ZNF106
RARS2
AKIRIN2
PNRC1
MAP1A
PDIA3
SERF2
EIF3J
B2M
ASCC3
SQRDL
ACTN4
SEC63
DUT
FBN1
EID1
CD164
FGF7
DTWD1
GABPB1-AS1
GTF3C6
REV3L
LAMA4
MARCKS
HDAC2
RSL24D1
NDUFA8
OCIAD2
GJA1
FAM63B
SLTM
GTF2A2
ANXA2
ECHDC1
PTPRK
TPM1
LACTB
RPS27L
EPB41L2
PRNP
CTGF
PPIB
RPS12
TCF21
BCLAF1
MDK
RAB11A
PERP
ABRACL
CITED2
SMAD3
FUCA2
PHACTR2
RPLP1
RAB32
UACA
LARP6
GINM1
PKM
HEXA
PCMT1
NPTN
LOXL1
CNIH1
PDE5A
SNX9
GTF2H5
COMMD4
SOD2
WTAP
ACAT2
TCP1
MRPL18
ETFA
FDFT1
RCN2
TSPAN3
SFT2D1
PSMA4
THBS2
MORF4L1
ZFAND6
PSMB1
CEMIP
FAM20C
MESDC2
RPS17
APOL6
ACTR10
ACTB
FSCN1
MT-ND4L
MRPS11
MFGE8
AK1
IDH2
NDUFA4
TMEM106B
IQGAP1
NR2F2
GPNMB
RABAC1
HNRNPA2B1
SMPDL3A
VIMP
SNRNP25
TAX1BP1
JAZF1
MRPL28
NME4
GARS
LSM5
FKBP9
STUB1
METRN
SEPT7
PSMC5
UBE2I
TSR3
RALA
SET
PSMA2
MRPL32
NME3
MRPS34
NDUFB10
RPS2
POLD2
SLC9A3R2
H2AFV
HNRNPA1
IGFBP3
ECI1
TNS3
RNPS1
SEC61G
SRRM2
CCT6A
SUMF2
TNFRSF12A
HCFC1R1
IL32
TPST1
H3F3B
SBDS
BAZ1B
AKR7A2
WBSCR22
PSMD11
SMARCA5
