GeneATG12
ATP6AP1
UBE2D3
WRB
HMG20B
MYO1B
NT5E
PPA2
NDUFV3
CELF1
POLR3GL
VBP1
ADSL
MRPS26
FKBP11
FNBP4
TRIP11
SSRP1
PRKAG1
UBE2J1
USP22
TIMM10
FBXO25
TMEM11
ARF3
CTNND1
SPATS2
PFKL
MEAF6
CASC4
UBE2G2
TMEM97
TOMM5
POLDIP2
CAMK2D
VTN
RPL36
GAPDH
CFLAR
SEC24D
SYNPO2
TCIRG1
CCNDBP1
BLOC1S6
BLVRA
DDB1
APH1A
FZD7
SPATC1L
PSMG4
CLPP
ALKBH7
MAX
GTF2F1
FOXO3
BMPR2
KIAA1109
CCDC53
FGF2
COPS2
FADS3
CERS2
NUFIP2
NRP2
TAOK1
PIEZO2
EIF4B
TP53I13
MLLT11
AMD1
SPPL2A
B3GAT3
PET100
NSRP1
GLDN
CPD
ARHGEF12
TMOD3
PCDH18
MAPK6
TIMM44
ELAVL1
MRPL9
CD320
NF1
SNHG18
CBX5
RAB11B
ATL3
SORBS3
TSPYL1
CCPG1
ITGA5
STARD3NL
SC5D
PSMD6
NUDT22
GOPC
DNAJC4
TMEM98
SST
SNAPIN
CCL11
RAB5B
PMM1
ADAM10
TMEM132E
TRMT112
AAMP
PNKD
TMBIM1
SUPT16H
ESYT1
MAPK1
P3H3
KCNQ1OT1
RNF41
CENPW
UBAP2L
ARL8B
VPS13C
PBK
PFDN6
CNPY2
CMBL
RP1-86D1.5
PMVK
FAM134A
ILF3
ZNHIT3
CKS1B
MARCH6
CDC42EP2
DCTN6
GTF2E2
C19orf25
GRIA2
FAM198B
PPP2CB
SCYL1
ITGB2
MTX1
FAM89B
MRPL45
LSM12
TMEM189
LMCD1
ELOF1
ASH1L
DCTN2
AHNAK2
PCGF2
DAP3
CCNC
SP100
VWA5A
RPL23
PEAK1
ARHGEF2
ARSJ
HACD3
LSM1
WHSC1L1
MFF
PMF1
CDK12
RAB1B
USE1
RABEP1
TRIO
TRIP12
LINC01135
MIEN1
TM2D2
APOA1BP
GPATCH4
PSMD3
FAM105A
JOSD2
GOLGA7
CTSF
CCS
PTTG1
MRPL24
TOP2A
WWC2
CHAC1
EIF4E2
SMARCE1
SLC20A2
SMIM19
TOX4
HOOK3
FNTA
KRTAP1-5
HGSNAT
STX10
RPS6KB2
PLXNB2
LINC01479
CFAP97
AIP
COPS8
SNAI2
MDM2
NFAM1
JUP
TADA3
UBE2F
NT5C3B
TSTD1
FAT1
ATP6V1H
SNHG23
CNP
SDHA
LYPLA1
MRPL15
PKN1
NDUFA10
DHX29
PTRF
AGPAT2
TBPL1
FAM173A
MLX
UHMK1
STK25
SCAMP2
C5orf38
SHANK2-AS1
DTYMK
SPC25
BECN1
DYNLT1
C10orf10
PAWR
TRAF7
IFI35
PCGF5
IMP3
PTPRS
SMIM7
CCDC59
RBCK1
CREG1
DUSP3
LSS
DCAF6
C12orf50
TIPRL
CARS
COPS5
G6PC3
OXTR
BST2
MVB12A
MPC1
CCM2
CD276
SLC25A39
LACTB2
PRRX1
IGF2R
TERF1
NEK6
TMED3
LINC01021
CDH6
MRPL42
NMT1
ZFR
JUND
PDCD2
PGPEP1
SSBP4
VPS51
RP11-672A2.6
PPARG
MRPS14
ARMC9
DNAJC21
STMN2
HSD17B11
PHF3
HOMER3
C14orf132
HIST1H1B
FLYWCH2
ABL2
CDC27
ERAP2
MRPL34
ZNF622
MRPS25
SLC25A11
FAM103A1
C15orf40
FAM207A
A2M
MRPL10
C8orf59
PRKAA1
TMEM126B
GLUL
RMDN1
CPNE3
PICALM
COPZ2
NFE2L1
CBX1
KRT8
NFYB
VEZT
F2R
UBE2E1
ALDH1L2
OTUD6B-AS1
UBE2Z
FAM129A
TOP2B
ASB5
DARS
ZDHHC4
CTB-176F20.3
TXNDC15
USP8
KIAA1033
SLC35B1
TGFBR2
PWP1
MAP3K13
RGS2
CMTM6
SNX18
URI1
ENG
GLB1
PRRC2A
PHF14
KIAA0101
CFH
MRPL27
NAE1
C19orf60
PDCD6IP
LAPTM4B
RPL30
CTC-236F12.4
SPATA20
LRRFIP2
ABCC3
MMP1
MMP3
MMP12
DCUN1D5
SPAG9
LSM14A
PLEKHA5
GPI
RSF1
NAV1
SMIM15
MMD
TMEM100
SHISA4
C6orf89
RNPEP
SREK1IP1
C12orf10
RPL14
UBR5
SNX5
MRPS23
NKTR
ADIPOR1
ATP6V1C1
TMEM183A
DBN1
PIM1
CHI3L1
CCNB1
CRYAB
DIXDC1
BDKRB1
AK6
ZC3H11A
PJA2
SWI5
RP11-240G22.5
ANGPT1
EIF3E
KPNA3
WSB2
KCTD20
MDM4
LINC00475
MARK3
RAD21
SCRN1
ZDHHC3
TUG1
CADM1
FOXN3
RAB29
DUSP6
DTD1
PAFAH1B2
C16orf13
TRIAP1
ATP5G2
PAFAH1B3
RNF10
IL24
CCDC12
KMT2A
FAM83A
CD55
LARP7
ARCN1
FBXO32
SMDT1
LHFPL2
TMA7
TATDN1
RAB8B
NDUFB9
RPS14
LPGAT1
IP6K2
PRKCA
SSR3
ARIH2
PSMD12
TUSC2
ZCCHC9
SNAPC1
NUBP2
KPNA2
HAGH
EFR3A
PHF20L1
LAMB2
AEBP1
CENPF
ST3GAL1
GFER
SBNO1
RILPL2
PPIA
TMED2
SMIM3
SNHG19
ZFP36
IARS2
TBRG1
SUPT5H
TIMM50
PGP
CCDC90B
FAM104A
GPS1
NR2F1-AS1
PSMC4
RPL38
RP11-400N13.3
GPX3
AMDHD2
FEZ1
AIDA
SHKBP1
GSDMD
AHSA1
SNRPA
HSPH1
WDR26
EGLN2
GMDS
TSTA3
GRB2
HNRNPUL1
TGFB1
PCBP4
PCDH7
PUF60
ATP2C1
WDR61
MOXD1
ACBD3
PRPF31
POSTN
SHARPIN
MAF1
RP11-890B15.2
MAN2A1
SMIM4
HSF1
IGSF9B
EXOC7
SPCS1
PPP2R5E
EIF4H
CDKN3
CYHR1
VASN
WIPI2
FAM229B
SEPT9
G3BP1
