GeneRP11-34P13.3
RP11-108M9.3
RP11-108M9.4
RP11-108M9.6
MFAP2
ATP13A2
PADI2
RP11-380J14.1
PADI1
RP1-20B21.4
RCC2
ARHGEF10L
ACTL8
ALDH4A1
IFFO2
RP1-43E13.2
AKR7A3
TMCO4
OTUD3
PLA2G2A
PLA2G2D
PLA2G2C
UBXN10-AS1
UBXN10
CDA
PINK1-AS
KIF17
SH2D5
RP5-930J4.2
RP3-329E20.2
RP5-1071N3.1
ALPL
RAP1GAP
LDLRAD2
RP1-224A6.3
LINC00339
RP1-224A6.9
WNT4
ZBTB40
EPHB2
C1orf234
HTR1D
LINC01355
ZNF436
ZNF436-AS1
RP5-1057J7.7
TCEA3
ASAP3
E2F2
RP1-150O5.3
MDS2
TCEB3-AS1
GALE
FUCA1
CNR2
RP11-293P20.2
IL22RA1
IFNLR1
GRHL3
STPG1
RCAN3
RP4-594I10.3
RUNX3
RP4-706G24.1
RP3-465N24.6
RHD
RHCE
RP11-70P17.1
RP1-187B23.1
RP1-317E23.3
AUNIP
RP1-125I3.2
PAQR7
PAFAH2
EXTL1
SLC30A2
TRIM63
PDIK1L
FAM110D
RP11-96L14.7
CNKSR1
CEP85
UBXN11
AIM1L
LIN28A
RPS6KA1
RP5-968P14.2
PIGV
ZDHHC18
SFN
GPATCH3
KDF1
TRNP1
FAM46B
RP11-40H20.4
SYTL1
MAP3K6
GPR3
RP1-159A19.4
AHDC1
RP11-288L9.1
AL109927.1
THEMIS2
SMPDL3B
XKR8
PTAFR
RP5-1092A3.4
RP5-1092A3.5
MED18
SNHG12
RAB42
RP11-442N24__B.1
RNU11
GMEB1
RP1-212P9.3
PTPRU
RP4-656G21.1
MATN1
MATN1-AS1
LAPTM5
RP5-1125N11.2
NKAIN1
RP11-266K22.2
TINAGL1
HCRTR1
RP11-73M7.6
RP11-73M7.9
ADGRB2
RP11-84A19.3
RP11-84A19.2
RP11-84A19.4
RP4-534N18.2
RP11-277A4.4
TMEM39B
RP4-622L5.7
IQCC
DCDC2B
FAM167B
LCK
TSSK3
FAM229A
ZBTB8B
ZBTB8A
RP11-114B7.6
KIAA1522
FNDC5
HPCA
RNF19B
RP1-117O3.2
AZIN2
TRIM62
ZNF362
RP11-415J8.7
A3GALT2
RP11-415J8.3
RP11-415J8.5
ZSCAN20
CSMD2
C1orf94
GJB5
GJB4
GJA4
RP5-997D16.2
DLGAP3
RP11-244H3.4
ZMYM6NB
ZMYM6
ZMYM1
ZMYM4-AS1
NCDN
RP4-728D4.2
TFAP2E
CLSPN
RP11-435D7.3
AGO4
RP4-789D17.5
TEKT2
COL8A2
SH3D21
RP11-268J15.5
OSCP1
CSF3R
LINC01137
ZC3H12A
SNIP1
DNALI1
CDCA8
MANEAL
RP11-109P14.9
YRDC
INPP5B
RP11-109P14.10
POU3F1
RP5-884C9.2
MYCBP
RP5-864K19.6
RHBDL2
RP11-69E11.4
RP11-69E11.8
HEYL
OXCT2
RP1-118J21.25
TRIT1
MYCL
RP1-118J21.5
MFSD2A
RLF
TMCO2
RP1-39G22.7
COL9A2
ZFP69B
ZFP69
RP11-656D10.3
EXO5
RP11-656D10.5
ZNF684
RIMS3
NFYC-AS1
KCNQ4
CITED4
SLFNL1-AS1
SLFNL1
RP11-399E6.1
FOXO6
RP11-399E6.4
EDN2
HIVEP3
FOXJ3
RIMKLA
ZMYND12
CCDC30
RP5-994D16.3
ERMAP
RP11-342M1.3
ZNF691
SLC2A1-AS1
FAM183A
CFAP57
MPL
RP1-92O14.3
CDC20
RP1-92O14.6
SZT2
SZT2-AS1
HYI-AS1
KDM4A
KDM4A-AS1
ST3GAL3
RP11-184I16.4
ARTN
RP11-7O11.3
IPO13
DPH2
CCDC24
SLC6A9
RP5-1198O20.4
C1orf228
KIF2C
RP11-269F19.2
BEST4
PLK3
TCTEX1D4
BTBD19
PTCH2
HECTD3
ZSWIM5
LINC01144
HPDL
MUTYH
TOE1
TESK2
CCDC163P
MMACHC
CCDC17
IPP
MAST2
PIK3R3
RP4-533D7.4
RP4-533D7.5
TSPAN1
LURAP1
RAD54L
NSUN4
FAAH
MKNK1-AS1
MOB3C
TEX38
EFCAB14-AS1
CYP4A22-AS1
LINC00853
PDZK1IP1
STIL
LINC01389
FOXE3
FOXD2-AS1
FOXD2
TRABD2B
RP5-1024N4.4
SPATA6
DMRTA2
CDKN2C
LINC01562
TTC39A
TTC39A-AS1
RP11-191G24.1
RP4-657D16.3
RP4-657D16.6
KTI12
RP11-91A18.4
TXNDC12-AS1
ZFYVE9
CC2D1B
RP11-155O18.6
ORC1
GPX7
FAM159A
ZYG11A
RP11-334A14.5
SLC1A7
RP11-334A14.8
CPT2
RP5-1024G6.2
RP5-1024G6.7
RP5-1024G6.5
LRP8
RP4-784A16.2
RP4-784A16.5
GLIS1
NDC1
DIO1
TCEANC2
CYB5RL
SSBP3-AS1
RP5-997D24.3
ACOT11
MROH7
TTC4
PARS2
RP11-67L3.5
RP11-67L3.4
TMEM61
PCSK9
USP24
RP11-90C4.1
RP11-504A18.1
C1orf168
DAB1
OMA1
TACSTD2
MYSM1
LINC01135
RP11-63G10.3
RP4-794H19.1
LINC01358
RP11-467C18.1
FGGY
CYP2J2
NFIA-AS2
RP11-430G17.3
INADL
L1TD1
KANK4
ANGPTL3
RP11-230B22.1
ATG4C
RP4-771M4.3
FOXD3-AS1
ALG6
EFCAB7
ROR1-AS1
CACHD1
RAVER2
RP4-535B20.4
RP4-535B20.1
AK4
DNAJC6
LEPR
PDE4B
RP4-598P13.1
TCTEX1D1
INSL5
WDR78
SLC35D1
C1orf141
IL23R
GNG12-AS1
DIRAS3
RPE65
DEPDC1
RP4-694A7.2
DEPDC1-AS1
LRRC7
LRRC40
HHLA3
RP11-180O5.2
CTH
RP11-42O15.3
RP5-952N6.1
PTGER3
RP3-333A15.1
ZRANB2-AS1
RP11-82L20.1
LRRIQ3
FPGT
FPGT-TNNI3K
TNNI3K
RP11-17E13.2
RP11-510C10.2
LHX8
RP11-510C10.3
SLC44A5
MSH4
ST6GALNAC3
ST6GALNAC5
RP11-375A5.1
NEXN-AS1
GIPC2
RP11-386I14.4
PTGFR
IFI44L
IFI44
ADGRL4
RP5-837I24.4
LINC01361
RP11-475O6.1
RP11-486G15.2
SAMD13
LPAR3
MCOLN2
WDR63
MCOLN3
RP11-131L23.1
RP11-131L23.2
RP11-290M5.4
COL24A1
CLCA2
RP4-612B15.3
RP4-604K5.3
LINC01140
PKN2-AS1
RBMXL1
GBP7
GBP4
GBP5
GBP6
LRRC8B
FLJ27354
LRRC8C
RP5-943J3.2
RP11-302M6.5
RP4-665J23.1
RP4-665J23.2
HFM1
CDC7
EPHX4
SETSIP
BTBD8
KIAA1107
RP4-621B10.8
GLMN
CCDC18
FNBP1L
BCAR3
RP5-1033H22.2
RP4-561L24.3
ABCA4
RP11-148B18.1
SLC44A3
RP4-639F20.1
RP11-313A24.1
TMEM56-RWDD3
RP11-57H12.3
RWDD3
PTBP2
DPYD
DPYD-AS1
RP11-272L13.3
RP11-490G2.2
MIR137HG
RP5-1070A16.1
PLPPR5
PLPPR4
PALMD
FRRS1
RP5-884G6.2
SASS6
LRRC39
DBT
RTCA-AS1
CDC14A
GPR88
LINC01349
RP4-549L20.3
RP11-421L21.2
RP11-421L21.3
RP4-575N6.4
S1PR1
LINC01307
RP11-411H5.1
COL11A1
RNPC3
AMY2B
RP5-947P14.1
PRMT6
NTNG1
VAV3
RP11-483I13.5
FAM102B
HENMT1
FNDC7
AKNAD1
RP11-475E11.9
SPATA42
GPSM2
WDR47
RP5-1065J22.8
SCARNA2
KIAA1324
CELSR2
PSRC1
MYBPHL
ATXN7L2
CYB561D1
AMIGO1
GPR61
GNAT2
RP5-1160K1.6
GSTM2
GSTM1
AC000032.2
RP4-735C1.4
EPS8L3
STRIP1
RP4-773N10.4
ALX3
SLC6A17
KCNC4-AS1
KCNC4
RP5-1074L1.1
RBM15
RP5-1074L1.4
PROK1
RP11-284N8.3
KCNA3
RP11-96K19.2
RP11-96K19.5
RP5-1180E21.5
DENND2D
CHI3L2
PIFO
OVGP1
C1orf162
TMIGD3
ADORA3
LINC01160
FAM212B
FAM212B-AS1
DDX20
KCND3
KCND3-AS1
RP11-88H9.2
RP5-965F6.2
RP4-671G15.2
ST7L
RP11-426L16.3
PPM1J
FAM19A3
LINC01356
RP3-522D1.1
RP11-31F15.2
LRIG2
MAGI3
RP5-1073O3.2
PTPN22
AP4B1-AS1
BCL2L15
AP4B1
DCLRE1B
HIPK1-AS1
DENND2C
TSPAN2
NGF
SLC22A15
MAB21L3
RP5-1185H19.2
RP5-1086K13.1
CD58
IGSF3
RP4-753F5.1
PTGFRN
RP11-27K13.3
TTF2
TRIM45
VTCN1
RP11-188D8.1
FAM46C
GDAP2
WDR3
SPAG17
WARS2
WARS2-IT1
RP11-418J17.1
RP5-834N19.1
ZNF697
RP11-114O18.1
AC253572.1
NBPF26
AC241377.2
LINC00623
FCGR1B
RP11-439A17.9
FAM72B
CH17-437K3.1
RP11-344P13.4
RP11-344P13.6
RP11-403I13.5
RP11-403I13.7
FAM72C
RP11-763B22.4
NBPF15
RP11-289H16.1
FAM72D
AC241585.2
CH17-373J23.1
RP11-89F3.2
NBPF20
GPR89A
PDZK1
CD160
NUDT17
PIAS3
ITGA10
RP11-315I20.1
ANKRD34A
RP11-458D21.1
NBPF10
NOTCH2NL
CH17-353B19.1
CH17-408M7.1
NBPF12
RP11-337C18.8
FMO5
LINC00624
BCL9
ACP6
GPR89B
XXyac-YX155B6.7
RP11-94I2.4
NBPF11
RP4-565E6.1
XXyac-YX155B6.5
RP11-495P10.6
RP11-495P10.5
RP6-74O6.6
LINC01138
RP11-495P10.1
AC245100.1
PPIAL4G
NBPF14
RP4-791M13.3
NBPF9
RP11-326G21.1
NBPF19
LINC00869
RP11-353N4.6
FAM231D
HIST2H2BF
RP11-196G18.3
HIST2H3D
HIST2H4A
HIST2H2AA3
HIST2H2BE
RP11-196G18.24
HIST2H2AA4
HIST2H4B
RP11-196G18.23
HIST2H2AC
HIST2H2AB
MTMR11
VPS45
RP4-790G17.7
CA14
CIART
PRPF3
TARS2
FALEC
RP11-54A4.2
ADAMTSL4
GOLPH3L
HORMAD1
CTSS
SETDB1
RP11-316M1.12
RP11-316M1.3
ANXA9
FAM63A
PRUNE
BNIPL
GABPB2
SEMA6C
TNFAIP8L2
LYSMD1
TMOD4
RP11-126K1.2
ZNF687
RP11-126K1.9
RFX5
RP11-126K1.8
RP11-126K1.6
CGN
TUFT1
RP11-404E16.1
RP11-98D18.1
RIIAD1
RP11-98D18.15
OAZ3
RP11-98D18.3
RP11-98D18.16
TDRKH
RP11-98D18.9
RORC
C2CD4D
AL450992.2
THEM5
AL591893.1
TCHH
FLG-AS1
RP11-107M16.2
HRNR
FLG
FLG2
LCE2A
LINC01527
S100A7
BX470102.3
S100A5
S100A3
S100A2
S100A14
S100A1
RP1-178F15.4
NPR1
INTS3
RP11-216N14.9
AL513523.2
SLC27A3
DENND4B
CRTC2
RP11-422P24.12
RP11-422P24.10
CREB3L4
RP11-422P24.11
NUP210L
C1orf189
AQP10
RP11-350G8.5
IL6R
SHE
RP11-350G8.9
CHRNB2
KCNN3
RP11-307C12.13
PYGO2
RP11-307C12.12
ZBTB7B
DCST2
RP11-307C12.11
EFNA4
EFNA3
EFNA1
TRIM46
MUC1
RP11-263K19.4
RP11-263K19.6
CLK2
HCN3
PKLR
RUSC1-AS1
ASH1L-AS1
RP11-29H23.4
MSTO1
RXFP4
RP11-336K24.12
RP11-336K24.5
UBQLN4
RAB25
MEX3A
SEMA4A
SLC25A44
PMF1-BGLAP
BGLAP
PAQR6
SMG5
TMEM79
TSACC
RHBG
C1orf61
RP11-98G7.1
MEF2D
RP11-284F21.8
IQGAP3
AL365181.2
HAPLN2
RP11-284F21.9
BCAN
RP11-284F21.10
RP11-284F21.7
RP11-66D17.3
CRABP2
RRNAD1
SH2D2A
NTRK1
PEAR1
LRRC71
ARHGEF11
ETV3
CD5L
CD1D
PYHIN1
C1orf204
VSIG8
RP11-190A12.8
CFAP45
LINC01133
PIGM
KCNJ9
IGSF8
ATP1A2
ATP1A4
CASQ1
RP11-536C5.7
RP11-574F21.3
RP11-574F21.2
NHLH1
SLAMF6
CD84
RP11-404F10.2
SLAMF7
F11R
USF1
ARHGAP30
PVRL4
KLHDC9
RP11-297K8.2
USP21
PPOX
ADAMTS4
FCER1G
APOA2
TOMM40L
NR1I3
MPZ
FCGR2A
HSPA6
FCRLA
FCRLB
RP11-474I16.8
OLFML2B
NOS1AP
C1orf226
SH2D1B
RGS4
RGS5
RP11-267N12.1
RGS5
NUF2
RP11-506O24.1
RXRG
RP11-306I1.2
RP11-466F5.10
RP11-466F5.8
RP11-525G13.2
FAM78B
TADA1
ILDR2
RP11-277B15.3
POU2F1
CD247
RP11-104L21.3
RCSD1
ADCY10
RP1-313L4.3
TBX19
RP5-968D22.1
XCL2
DPT
ATP1B1
CCDC181
SLC19A2
RP1-206D15.6
C1orf112
SELL
METTL18
SCYL3
KIFAP3
RP11-576I22.2
GORAB
RP1-79C4.1
RP1-79C4.4
FMO3
FMO2
RP1-127D3.4
RP1-45C12.1
FMO1
FMO4
MYOC
METTL13
DNM3
DNM3OS
RP1-15D23.2
TNFSF18
TNFSF4
RP11-296O14.3
ANKRD45
CENPL
DARS2
GAS5-AS1
ZBTB37
SERPINC1
RP11-160H22.3
RP11-160H22.5
RABGAP1L
RP1-102G20.5
KIAA0040
RP11-318C24.2
RP11-492I21.1
RP11-195C7.1
PAPPA2
SEC16B
RASAL2-AS1
TEX35
C1orf220
RP5-1098D14.1
RP11-428K3.1
ANGPTL1
AXDND1
TDRD5
FAM163A
RP11-533E19.7
RP11-533E19.5
RP11-502H18.2
LHX4
XPR1
KIAA1614
RP11-46A10.5
KIAA1614-AS1
RP11-540K16.1
TEDDM1
LINC00272
RGSL1
RNASEL
RGS16
RP11-317P15.4
NPL
SHCBP1L
LAMC2
NMNAT2
SMG7
NCF2
RGL1
RP11-444D13.1
COLGALT2
RP11-382D12.2
RNF2
TRMT1L
SWT1
GS1-279B7.2
GS1-204I12.4
HMCN1
PRG4
OCLM
RP11-295K2.3
GS1-304P7.3
PTGS2
PACERR
PLA2G4A
RP11-309H21.3
RGS18
RP5-1011O1.2
RP5-1011O1.3
RGS1
RGS13
LINC01032
RP11-101E13.5
B3GALT2
LINC01031
RP11-563D10.1
KCNT2
CFHR1
ASPM
ZBTB41
CRB1
ATP6V1G3
PTPRC
RP11-553K8.5
MIR181A1HG
RP11-16L9.2
LINC00862
RP11-469A15.2
KIF14
DDX59
RP11-92G12.3
C1orf106
KIF21B
ASCL5
IGFN1
TNNT2
LAD1
TNNI1
RP11-134G8.7
RP11-134G8.5
RP11-25B7.1
IPO9-AS1
RP11-90L20.2
RP11-307B6.3
RP11-465N4.5
RP11-465N4.4
ELF3
GPR37L1
PTPN7
SYT2
RP11-569A11.1
RP11-480I12.10
PCAT6
KLHL12
PPFIA4
ADORA1
RP11-335O13.7
MYBPH
CHI3L1
CHIT1
LINC01353
LINC01136
PRELP
LAX1
LINC00303
SOX13
RP11-74C13.4
RP11-74C13.3
REN
KISS1
GOLT1A
RP11-203F10.5
PIK3C2B
RP11-430C7.4
LRRN2
RP11-430C7.5
TMEM81
TMCC2
NUAK2
LEMD1-AS1
CDK18
MFSD4
SLC45A3
PM20D1
RAB7B
C1orf186
FAM72A
SRGAP2
C1orf147
RP11-534L20.5
RASSF5
RP11-343H5.6
DYRK3
IL10
IL20
IL24
FCMR
PFKFB2
YOD1
C4BPB
C4BPA
RP11-164O23.8
RP11-6J21.2
C1orf132
CD34
PLXNA2
RP11-372M18.2
CAMK1G
LAMB3
RP1-28O10.1
C1orf74
IRF6
DIEXF
SERTAD4
HHAT
KCNH1
RP11-354K1.1
NEK2
RP11-122M14.1
INTS7
DTL
RP11-15I11.3
RP11-384C4.7
TMEM206
RP11-61J19.5
ATF3
RP11-338C15.3
BATF3
TATDN3
SPATA45
FLVCR1-AS1
FLVCR1
VASH2
ANGEL2
RPS6KC1
PROX1
CENPF
KCNK2
USH2A
ESRRG
SPATA17
TGFB2-AS1
C1orf143
RP11-412H9.2
LYPLAL1-AS1
RP11-135J2.3
RP11-392O17.2
BPNT1
MARK1
C1orf115
MARC2
MARC1
RNU6ATAC35P
RP11-295M18.6
LINC01352
HLX-AS1
HLX
C1orf140
RP11-815M8.1
RP11-400N13.3
RP11-400N13.1
RP11-358H9.1
RP11-378J18.9
HHIPL2
TAF1A
TAF1A-AS1
RP11-378J18.8
FAM177B
RP11-452F19.3
DISP1
TLR5
CAPN8
RP11-504P24.9
FBXO28
RP11-365O16.6
NVL
CNIH3
DNAH14
RP11-145A3.1
RP11-285F7.2
LEFTY1
LEFTY2
SDE2
RP11-396C23.4
RP11-396C23.2
RP11-275I14.4
MIXL1
LIN9
C1orf95
ITPKB
ITPKB-AS1
ADCK3
RP5-1087E8.3
RP11-1B20.1
CTD-2090I13.1
ZNF678
PRSS38
WNT9A
RP5-881P19.7
GJC2
IBA57-AS1
IBA57
C1orf145
OBSCN
RP5-1139B12.2
RP5-1139B12.3
RP11-245P10.6
TRIM11
TRIM17
HIST3H3
HIST3H2BB
RHOU
RP5-1065P14.2
TMEM78
RP5-1061H20.4
RP4-803J11.2
CCSAP
ACTA1
NUP133
RP4-613A2.1
ABCB10
TAF5L
URB2
RP5-956O18.3
PGBD5
AGT
RP11-99J16__A.2
CAPN9
RP5-858B6.3
TTC13
TRIM67
EXOC8
RP11-295G20.2
TSNAX-DISC1
DISC1
SIPA1L2
MAP10
PCNXL2
RP5-862P8.2
KCNK1
SLC35F3
RP5-827C21.4
TARBP1
LINC01354
RP4-781K5.2
RP4-781K5.4
LINC01132
RP11-443B7.2
RP11-443B7.1
LINC01348
RP4-597N16.4
RBM34
TBCE
B3GALNT2
GNG4
RP5-940F7.2
RP4-580N22.2
ERO1B
EDARADD
LGALS8-AS1
RP11-385F5.5
RP11-385F5.4
ACTN2
RYR2
RP11-193H5.1
MTRNR2L11
RP11-177F15.1
CHRM3
FMN2
GREM2
RP11-80B9.1
RGS7
RP11-527D7.1
KMO
WDR64
EXO1
LINC01347
RP11-269F20.1
RP11-278H7.1
ZBTB18
C1orf100
RP11-518L10.5
C1orf101
RP11-173A6.3
HNRNPU-AS1
RP11-11N7.5
RP11-11N7.4
RP11-156E8.1
EFCAB2
RP11-62I21.1
RP11-522M21.3
RP11-83A16.1
RP11-36N20.1
TFB2M
CNST
RP11-439E19.9
RP11-439E19.7
RP11-439E19.10
ZNF695
ZNF670-ZNF695
ZNF670
ZNF669
C1orf229
ZNF124
RP11-488L18.10
RP11-488L18.8
ZNF496
NLRP3
GCSAML-AS1
TRIM58
LYPD8
SH3BP5L
ZNF672
ZNF692
PGBD2
FAM150B
AC092159.2
SNTG2
AC144450.2
MYT1L
TRAPPC12-AS1
RP11-1293J14.1
AC142528.1
AC108488.4
COLEC11
AC019172.2
NRIR
CMPK2
RSAD2
RNF144A
AC011747.4
AC011747.6
ID2-AS1
RP11-434B12.1
MBOAT2
RP11-214N9.1
RP11-521D12.1
RP11-95D17.1
GRHL1
RP11-254F7.2
KLF11
RP11-254F7.3
CYS1
RP11-254F7.4
RRM2
C2orf48
RP11-320M2.1
RN7SL832P
ATP6V1C2
RP11-791G15.2
KCNF1
C2orf50
LINC00570
GREB1
AC012456.4
MIR3681HG
TRIB2
LINC00276
FAM84A
AC068286.1
AC008278.2
GEN1
KCNS3
RP11-111J6.2
NT5C1B
AC106053.1
LINC01376
OSR1
LINC00954
TTC32
RP11-79O8.1
WDR35
AC079145.4
MATN3
RP11-644K8.1
SDC1
RP11-130L8.2
GDF7
RP11-130L8.1
LDAH
APOB
AC067959.1
AC011239.1
RP11-557N21.1
ATAD2B
MFSD2B
C2orf44
FKBP1B
FAM228B
PFN4
RP11-507M3.1
FAM228A
AC009228.1
CENPO
ADCY3
RP11-443B20.1
DNAJC27
DNAJC27-AS1
EFR3B
POMC
LINC01381
DNMT3A
AC012074.2
DTNB
KIF3C
GAREM2
ADGRF3
EPT1
DRC1
CIB4
KCNK3
CENPA
DPYSL5
AGBL5-AS1
RP11-503P10.1
RP11-195B17.1
KHK
CGREF1
ABHD1
SLC5A6
CAD
SLC30A3
TRIM54
UCN
GTF3C2
GTF3C2-AS1
AC074117.10
ZNF513
KRTCAP3
IFT172
GCKR
C2orf16
ZNF512
CCDC121
LINC01460
RBKS
AC093690.1
FLJ31356
RP11-373D23.3
PLB1
AC074011.2
AC097724.3
SPDYA
RP11-713D19.1
TRMT61B
FAM179A
ALK
AC016907.3
AC109642.1
GALNT14
CAPN14
EHD3
XDH
SRD5A2
RP11-1057B6.1
MEMO1
CTC-336P14.1
SPAST
RP11-563N4.1
SLC30A6
NLRC4
AL133245.2
BIRC6-AS2
TTC27
AL121656.5
RASGRP3
AC020594.5
RP11-78I14.1
VIT
STRN
HEATR5B
GPATCH11
NDUFAF7
AC007391.2
QPCT
AC006369.2
LINC00211
RMDN2
RMDN2-AS1
CYP1B1-AS1
ATL2
AC016995.3
AC011247.3
DHX57
ARHGEF33
RP11-173C1.1
CDKL4
TMEM178A
THUMPD2
SLC8A1-AS1
SLC8A1
AC104654.2
C2orf91
AC083949.1
KCNG3
OXER1
HAAO
AC016735.3
AC093609.1
LINC01126
AC010883.5
THADA
C1GALT1C1L
DYNC2LI1
ABCG5
ABCG8
RP11-559M23.1
SLC3A1
CAMKMT
AC012354.6
SIX2
AC093702.1
AC009236.2
SRBD1
PRKCE
U51244.2
ATP6V1E2
RP11-417F21.1
RP11-333I13.1
LINC01118
LINC01119
AC016722.3
AC016722.4
TTC7A
AC093732.1
C2orf61
AC073283.7
AC073283.4
BCYRN1
EPCAM
MSH2
KCNK12
MSH6
AC079807.2
AC079807.4
FOXN2
RP11-191L17.1
PPP1R21
STON1
STON1-GTF2A1L
GTF2A1L
LHCGR
AC010967.2
ASB3
GPR75-ASB3
CHAC2
GPR75
RP11-477N3.1
C2orf73
EML6
CLHC1
AC012358.7
AC012358.8
RP11-554J4.1
AC007743.1
CCDC85A
VRK2
FANCL
RP11-334G22.1
LINC01122
PAPOLG
REL
PUS10
KIAA1841
C2orf74
RP11-493E12.1
RP11-355B11.2
FAM161A
AC107081.5
AC018462.2
B3GNT2
AC093159.1
TMEM17
AC092155.4
AC007098.1
AC009501.4
OTX1
WDPCP
VPS54
PELI1
AC074289.1
LINC00309
AC008074.3
LGALSL
RP11-568N6.1
AC008074.1
AC007365.3
SLC1A4
AC007386.4
CEP68
SPRED2
AC074391.1
AC007389.3
RP11-418H16.1
AC092669.3
MEIS1-AS2
AC007392.3
AC007392.4
AC007403.2
AC023115.2
AC078941.1
AC007422.1
AC010987.6
WDR92
RP11-474G23.2
RP11-474G23.3
PLEK
FBXO48
APLF
ARHGAP25
GKN1
AC092431.3
MXD1
ASPRV1
AC016700.5
C2orf42
AC022201.5
VAX2
ATP6V1B1
AC007040.11
ATP6V1B1-AS1
ANKRD53
AC007040.6
RP11-467P9.1
PAIP2B
DYSF
CYP26B1
SMYD5
FBXO41
EGR4
ALMS1
RP11-434P11.2
DGUOK-AS1
TET3
RP11-287D1.4
BOLA3-AS1
RP11-287D1.2
RP11-287D1.3
SLC4A5
DCTN1-AS1
C2orf81
RTKN
INO80B
WBP1
MRPL53
CCDC142
TTC31
LBX2
RP11-523H20.3
LBX2-AS1
PCGF1
TLX2
LOXL3
M1AP
SEMA4F
RP11-259N19.1
LINC01291
AC104135.2
LINC01293
TACR1
RP11-355F16.1
GCFC2
RP11-342K6.1
RP11-342K6.3
RP11-342K6.4
LRRTM4
AC079117.1
AC084149.1
DNAH6
TRABD2A
RP11-60H5.1
SH2D6
VAMP8
SFTPB
GNLY
AC105053.3
RP11-548P2.2
POLR1A
RP11-301O19.1
REEP1
KDM3A
RNF103-CHMP3
AC015971.2
RNF103
RMND5A
RGPD1
PLGLB1
AC133644.2
RP11-1399P15.1
PLGLB2
THNSL2
EIF2AK3
AC062029.1
CH17-132F21.5
RP11-575H3.1
TEKT4
ZNF514
ZNF2
AC092835.2
PROM2
KCNIP3
RP11-440D17.3
RP11-440D17.4
AC008268.1
LINC00342
GPAT2
DUSP2
AC021188.4
ITPRIPL1
NCAPH
NEURL3
RP11-363D14.1
FER1L5
LMAN2L
CNNM4
RP11-353K11.1
CNNM3
ANKRD23
SEMA4C
FAM178B
FAHD2B
ANKRD36
RP11-734K23.9
AC159540.1
AC159540.2
ANKRD36B
LINC01125
VWA3B
AC092675.3
INPP4A
MGAT4A
KIAA1211L
TSGA10
C2orf15
RP11-111H13.1
LIPT1
RP11-38C17.1
LYG2
LYG1
RP11-527J8.1
AC092667.2
LINC01104
LONRF2
CHST10
NPAS2
AC016738.4
TBC1D8
RP11-299H21.1
CREG2
RFX8
LINC01127
IL1R2
IL1RL2
IL18R1
MFSD9
TMEM182
AC010884.1
RP11-332H14.1
TGFBRAP1
AC012360.4
RP11-332H14.2
AC012360.6
C2orf40
RGPD4-AS1
LINC01594
SULT1C2
SULT1C4
GCC2-AS1
CCDC138
SH3RF3-AS1
SOWAHC
